video,caption,seconds
H3C2lseX30A_0_0to175.mp4,"The video features a man standing on a soccer field, wearing a purple and blue jersey with the Betway logo. He is bald and has a beard. The field is green and well-maintained. In the background, there are empty bleachers and a blue fence. The sky is partly cloudy. The man appears to be posing for the camera, standing with his hands on his hips. The style of the video is a straightforward, real-life sports-related scene.",5.833333333333333
3tK1RxAOTFU_13_0to185.mp4,"The video shows a close-up of a glass filled with a green smoothie. The smoothie has a frothy top with small bubbles, indicating it is freshly made. The glass is placed on a wooden surface, which provides a natural and rustic backdrop. The smoothie's vibrant green color contrasts with the warm tones of the wooden surface, creating a visually appealing composition. The style of the video is simple and straightforward, focusing on the smoothie as the main subject without any additional elements or distractions. The video likely aims to showcase the smoothie's texture and color, possibly for advertising or promotional purposes.",6.172839506172839
G2AyLmNLCfw_4_0to201.mp4,"The video shows a white sports car parked on the side of a road. The car is sleek and modern, with a black roof and black rims. The car is parked next to a palm tree, which is tall and green. The sky is blue and clear, suggesting a sunny day. The car is the main focus of the video, and it is shown from a side angle, allowing viewers to see its design and features. The palm tree and the clear sky provide a pleasant and relaxing backdrop for the car. The video does not show any people or other vehicles, focusing solely on the car and its surroundings. The style of the video is simple and straightforward, with no additional effects or music. The video is likely intended to showcase the car's design and features, rather than tell a story or convey a message.",6.706706706706707
6fW7Uno2uVw_5_731to882.mp4,"In the video, a group of people are gathered around a dining table, working together to create a visually appealing and delicious cake. The cake is a three-tiered chocolate cake, with each layer generously filled with white frosting. The top layer of the cake is being covered with a vibrant blue frosting, which is being applied using a knife. The cake is placed on a white cake stand, which is placed on the dining table. The table is also adorned with various kitchen utensils and ingredients, including a bowl and a cup. The people in the video are focused on their task, working together to create a beautiful and delicious cake. The overall style of the video is a close-up shot of the cake and the people working on it, capturing the details of the cake and the actions of the people.",4.337671004337671
Bcky-NNU5X0_14_0to111.mp4,"The video shows a man in a red soccer jersey, who is celebrating a successful pass completion with a 93% completion rate. He is on a soccer field, and his arms are raised in triumph. The man is smiling and looking towards the camera, indicating his satisfaction with his performance. The background is blurred, but it appears to be a soccer stadium with green grass and a crowd of spectators. The style of the video is dynamic and energetic, capturing the excitement of the moment.",4.44
EvQ5x76F_kA_195_0to173.mp4,"The video is a 3D rendering of a modern multi-story building with a unique architectural design. The building features a combination of white and brown exterior walls, with green roofs on the top floors. The structure is adorned with numerous balconies and terraces, some of which are covered with plants, adding a touch of greenery to the urban setting. The building is surrounded by lush trees and foliage, creating a serene and natural environment. The video showcases the building from a bird's eye view, providing a comprehensive perspective of its design and the surrounding landscape. The style of the video is realistic and detailed, with a focus on the building's architecture and the integration of nature into the urban environment.",6.92
8GiumUUXtug_3_0to126.mp4,"The video is a news segment featuring a man named Dustin Sifford, a teacher from the Buckeye Union School District. The style of the video is a standard news report with a focus on the man and his background. The man is wearing a red shirt and sunglasses, and he is standing in front of a building with a crowd of people behind him. The crowd is wearing red shirts, suggesting that they are part of the same event or organization as the man. The news segment includes a graphic with the man's name and the name of the school district, as well as a logo for ABC 15 Arizona. The overall tone of the video is informative and professional.",4.208416833667335
FCd2P3YBdVw_17_0to114.mp4,"The video shows two men standing side by side, both dressed in suits and ties, holding a trophy between them. The trophy is a golden soccer ball, indicating that the award is related to soccer. The men are smiling and appear to be posing for the camera. The background is a red and white backdrop with various logos, suggesting that the event is a formal ceremony or awards show. The style of the video is a standard, straightforward presentation of the award ceremony, with no additional action or movement. The focus is on the men and the trophy, with no other significant elements in the scene.",4.56
9gRsoY1gDs8_21_616to808.mp4,"The video features a young man standing in a suburban neighborhood. He is wearing a gray jacket, a white t-shirt, and a beanie. His hands are clasped together in front of him, and he appears to be speaking or gesturing. The background shows a quiet residential area with houses and trees. The sky is overcast, and the overall atmosphere is calm and serene. The style of the video is casual and candid, capturing a moment in the man's day.",5.705705705705706
Dj-ID-MGSdU_0_0to250.mp4,"In the video, a zookeeper is seen interacting with two camels in a grassy enclosure. The zookeeper, wearing a green jacket and a face mask, holds a head of lettuce in one hand and a carrot in the other. The camels, with their brown fur, are seen sniffing the food offered by the zookeeper. The background features a fence and trees, indicating that the scene takes place in a zoo or a wildlife park. The video captures a moment of interaction between the zookeeper and the camels, showcasing the care and attention given to the animals in the facility.",7.633333333333334
